accession_genbank	database	isol_env	host_species	oxygen_tolerance	dependent	oxygen_requirement	classification
GCA_000194605	bacdive	Freshwater	0	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__Fluviicola taffensis
GCA_000195085	marref	Marine		0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__IMCC9063;s__IMCC9063 sp000195085
GCA_000195205	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAILRJ01;s__CAILRJ01 sp010365165
GCA_000196255	tempura	Marine		Facultative  	facultative		d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Photobacterium;s__Photobacterium profundum_A
GCA_000196495	tempura	Marine	cod	Facultative  	facultative		d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio salmonicida_A
GCA_000218705	marref	Marine		0			d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_Q
GCA_000218745	marref	Marine		0			d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_T
GCA_000224335	mardb	Marine		0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algorimicrobium;s__Algorimicrobium argentinense
GCA_000238395	bacdive	Marine	0	aerobe		aerobe	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arctica
GCA_000238895	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arctica
GCA_000239855	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas sp000239855
GCA_000239875	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas sp001974855
GCA_000241165	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas sp001974855
GCA_000241185	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas fuliginea
GCA_000241365	mardb	Sea ice		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas marina
GCA_000242915	bacdive	Marine	0	anaerobe		anaerobic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas gotlandica
GCA_000243235	bacdive	Microbal mat	0	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__Gillisia limnaea
GCA_000252125	mardb	Sea ice		0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium frigoris_A
GCA_000253275	bacdive	0	Oncorhynchus masou	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium branchiophilum
GCA_000255705	bacdive	0	Sphagnum	aerobe		aerobe	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Zavarzinella;s__Zavarzinella formosa
GCA_000265385	bacdive	Geologic	0	obligate aerobe	obligate	aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sublithincola
GCA_000276805	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Moritellaceae;g__Moritella;s__Moritella dasanensis
GCA_000283275	marref	Marine sediment		aerobe		aerobe	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter psychrophilus
GCA_000293865	bacdive	Freshwater	0	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__Limnohabitans_A sp000293865
GCA_000294595	mardb		Animal host	0			d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D;s__Arthrobacter_D sp003075455
GCA_000296775	mardb	Marine sediment		0			d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum sp000296775
GCA_000297055	bacdive	Freshwater	0	facultative anaerobe	facultative	anaerobic	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae;g__Sulfuricella;s__Sulfuricella denitrificans
GCA_000302595	bacdive	Soil	0	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pelobium;s__Pelobium arcticum
GCA_000305495	bacdive	Soil	0	facultative anaerobe	facultative	anaerobic	#N/A
GCA_000314955	bacdive	Marine sediment	0	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola chathamensis
GCA_000314995	mardb	Marine sediment		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola arctica
GCA_000315055	bacdive	Marine	0	aerobe		aerobe	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola polaris
GCA_000315075	bacdive	Sea ice	0	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola psychrophila
GCA_000347635	tempura	Sea ice		aerobe		aerobe	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola psychrophila
GCA_000365025	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Robiginitomaculum;s__Robiginitomaculum antarcticum
GCA_000371805	mardb	Marine sediment		0			d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus_A;s__Methanocaldococcus_A villosus
GCA_000374005	bacdive	Marine	Laminaria saccharina	0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__Kiloniella laminariae
GCA_000374065	bacdive	Soil	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__Spirosoma luteum
GCA_000374085	bacdive	Soil	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__Spirosoma spitsbergense
GCA_000376105	bacdive	Tundra	0	0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__Asticcacaulis benevestitus
